> RPGMAKER TRANS PATCH FILE VERSION 3.2
> BEGIN STRING
鉄格子は開かない！
> CONTEXT: Map261/events/2/pages/0/4/Dialogue
> CONTEXT: Map253/events/21/pages/0/4/Dialogue
> CONTEXT: Map253/events/24/pages/0/4/Dialogue
> CONTEXT: Map253/events/29/pages/0/4/Dialogue
> CONTEXT: Map253/events/30/pages/0/4/Dialogue
> CONTEXT: Map253/events/31/pages/0/4/Dialogue
> CONTEXT: Map253/events/32/pages/0/4/Dialogue
> CONTEXT: Map253/events/45/pages/0/4/Dialogue
> CONTEXT: Map253/events/46/pages/0/4/Dialogue
> CONTEXT: Map253/events/47/pages/0/4/Dialogue
> CONTEXT: Map253/events/48/pages/0/4/Dialogue
> CONTEXT: Map253/events/49/pages/0/4/Dialogue
> CONTEXT: Map203/events/6/pages/0/4/Dialogue
> CONTEXT: Map203/events/12/pages/0/4/Dialogue
> CONTEXT: Map203/events/15/pages/0/4/Dialogue
> CONTEXT: Map203/events/16/pages/0/4/Dialogue
> CONTEXT: Map203/events/17/pages/0/4/Dialogue
> CONTEXT: Map203/events/18/pages/0/4/Dialogue
> CONTEXT: Map203/events/19/pages/0/4/Dialogue
> CONTEXT: Map203/events/24/pages/0/4/Dialogue
> CONTEXT: Map203/events/36/pages/0/4/Dialogue
> CONTEXT: Map203/events/37/pages/0/4/Dialogue
> CONTEXT: Map203/events/38/pages/0/4/Dialogue
> CONTEXT: Map203/events/40/pages/0/4/Dialogue
The iron grate won't open!
> END STRING
